,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
0,176,distance,5,0.8238054100781451,0.01208672332124702,0.005405346994308073
1,197,distance,2,0.8249097463168045,0.013294206382327785,0.005945349835559297
2,26,distance,4,0.8152644667948994,0.014460112018115671,0.006466758686953662
3,68,distance,4,0.8234575898589614,0.012811016581462156,0.00572926078740527
4,152,distance,5,0.8242199448110317,0.012869059260442807,0.005755218262564657
5,104,distance,2,0.8240952225902651,0.013009183032048425,0.0058178835182794205
6,93,distance,1,0.8243310646937353,0.015006894316669343,0.006711287164645581
7,186,uniform,2,0.8276414413859612,0.01592327247688291,0.007121103936512327
8,143,uniform,3,0.828398894255211,0.015242222439213169,0.00681652910045066
9,24,uniform,3,0.8263973638488672,0.01572788052488762,0.007033721999128758
10,73,uniform,1,0.8312979251070498,0.015902708313755613,0.007111907363181721
11,90,distance,5,0.823047744288492,0.013034937204369991,0.005829401134282474
12,111,distance,1,0.8250120906032002,0.015108425861389713,0.0067566934518166425
13,43,uniform,5,0.8275893741581454,0.01610782465180139,0.007203638178214958
14,137,uniform,1,0.8303438124020566,0.017724375181795426,0.007926581553040954
15,168,distance,4,0.8241644299105341,0.012058771290399081,0.0053928464660910405
16,69,uniform,3,0.8293410752283817,0.014500312634928831,0.006484736949339992
17,177,distance,4,0.8237642705805586,0.012231216739495714,0.00546996641540915
18,128,uniform,5,0.8280813807986416,0.014660019975920884,0.006556160243532785
19,136,uniform,5,0.8282536284912394,0.015029980012975683,0.00672161140189536
20,173,distance,1,0.8261827826665759,0.015144152423135578,0.006772670855949862
21,1,uniform,1,0.6456886435463498,0.024035038423109546,0.01074879595117846
22,76,uniform,1,0.8311212748756546,0.016088368179177002,0.007194936979136858
23,56,uniform,4,0.8288169487261463,0.013552974102128374,0.006061074277930644
24,7,distance,1,0.779038847818909,0.011197205699343647,0.005007542620356093
25,20,uniform,3,0.8226647725485983,0.015118528135802084,0.006761211326279326
26,189,distance,1,0.8260735266563242,0.015229215282066026,0.006810712122935653
27,45,uniform,2,0.8290248311049849,0.015788598650062248,0.00706087597020012
28,192,uniform,5,0.8258463012777846,0.015095346238128107,0.006750844066470034
29,70,distance,2,0.8237002650695233,0.01381824899859192,0.006179708818173985
30,57,distance,4,0.822397858806912,0.012319317186235607,0.005509366132960851
31,153,distance,4,0.8241302267045425,0.01286292135713837,0.005752473308759049
32,184,distance,1,0.8259587035964548,0.01512870494724637,0.00676576253471605
33,182,distance,4,0.8236461423408927,0.012228207022782886,0.005468620429176571
34,113,distance,1,0.8249180305583363,0.01503365561635312,0.006723255181697415
35,190,distance,2,0.8249044085660826,0.013163617673253037,0.005886948789442281
36,193,distance,1,0.8263565863159661,0.015486619238728136,0.006925826671890431
37,35,distance,1,0.8160529847509682,0.0148397737072993,0.00663654855604706
38,57,uniform,5,0.8285790871545448,0.013398166930569583,0.005991842406128658
39,39,distance,5,0.8194305656738242,0.0154257329674288,0.006898597503586069
