,n_estimators,criterion,max_features,max_depth,auc (mean),auc (std),auc (se)
0,185,entropy,0.07630828937395717,,0.8114711948175829,0.01702144379124221,0.007612221078481865
1,206,entropy,0.7799187922401146,14,0.8243278332171553,0.01250101625261348,0.005590624425734685
2,35,entropy,0.4384092314408935,16,0.8197296484127274,0.014676807779411787,0.006563667977492499
3,77,entropy,0.7234651778309412,20,0.8195115753358246,0.015509165468101023,0.006935909652193246
4,221,entropy,0.9779895119966027,14,0.8231893265294892,0.011765397954610646,0.005261645921769278
5,417,entropy,0.5384958704104337,18,0.823403332826692,0.013744800812645223,0.006146861790853814
6,113,entropy,0.5011204636599379,20,0.8208620852310547,0.013464787014278161,0.00602163581329648
7,358,gini,0.07205113335976154,6,0.8370021003778847,0.015713321604883295,0.007027211052167028
8,195,gini,0.26843898010187117,2,0.830656540063103,0.015091146750504832,0.006748965998510772
9,408,gini,0.49988250082555996,8,0.8379623386390913,0.012307973971953101,0.005504293293317045
10,33,gini,0.6792299961209405,8,0.8319430624636397,0.013686511944412559,0.00612079421651386
11,82,entropy,0.8037390361043755,20,0.8187739044098763,0.012221505928177157,0.005465623608564157
12,355,entropy,0.3809411331485384,,0.8220420982945402,0.013781547161719384,0.006163295257744766
13,376,gini,0.06593634690590511,2,0.8249740646570475,0.01738491759814846,0.0077747715065384655
14,52,gini,0.28814559930799355,12,0.8258171360961011,0.01315630714662638,0.005883679422544576
15,228,entropy,0.9095935277196137,20,0.8191930431370185,0.012949756264853389,0.00579130706005319
16,402,gini,0.2133853535799155,4,0.8385691110147327,0.014351757926833325,0.006418301264204153
17,177,entropy,0.4521239618176831,18,0.8219068316002704,0.013176008110623435,0.005892489961488514
18,496,gini,0.9312060196890217,4,0.8375809998349049,0.013111020965925464,0.005863426826846858
19,78,gini,0.024899227550348013,12,0.8216556821576633,0.0158440788578959,0.0070856874734244926
20,442,entropy,0.6005489174641225,18,0.8230506531087689,0.013377804929792519,0.005982736242549575
21,393,gini,0.9501295004136456,8,0.8361576121992254,0.011719672943069501,0.005241197074953685
22,401,gini,0.2303028790209648,8,0.8396335967431694,0.01316914621232451,0.005889421227278297
23,438,gini,0.5484899192360304,8,0.8380901105351706,0.011913656560078001,0.0053279491857841435
24,10,entropy,0.9091283748867313,16,0.7948126660779146,0.011202638219998834,0.005009972117450927
25,85,gini,0.13316944575925016,6,0.8397995796623672,0.015129724779981674,0.006766218617780414
26,321,entropy,0.5234125806737658,,0.8217136865890282,0.013753933304855859,0.006150945965531208
27,260,gini,0.7504098591020348,10,0.8306546942069927,0.011897080848290057,0.005320536302117485
28,16,gini,0.6690132408839138,12,0.8137618678557017,0.013861185782475492,0.0061989107316737626
29,285,entropy,0.4677528597449807,12,0.8309005370180136,0.01072058688157338,0.004794392205178112
30,454,entropy,0.20484909029779508,14,0.827459736751765,0.014260416483530488,0.006377452128926536
31,54,entropy,0.49076588909107044,14,0.820460132456145,0.0113499555831429,0.005075854445102158
32,201,entropy,0.372384689385059,12,0.8300752116756378,0.012967813777203987,0.0057993826250772856
33,335,entropy,0.4774011548515884,,0.8227383087044482,0.014147524879498857,0.006326965468785793
34,322,entropy,0.36589038578059296,18,0.8229175647540081,0.014905644282570804,0.00666600677285188
35,162,entropy,0.8379179943092606,18,0.8209555409095437,0.013015943270587863,0.00582090678886308
36,193,entropy,0.7686475065195093,16,0.8218146927525826,0.013034555700792646,0.005829230520695953
37,447,entropy,0.31399467721266217,14,0.82760336794218,0.014472488151096306,0.006472293461882318
38,122,gini,0.572625332643954,8,0.8361618476773988,0.01305179043840436,0.005836938129670786
39,261,entropy,0.2760490483306951,,0.8219283267338927,0.015067000343698976,0.00673816739710472
40,199,gini,0.4528429325464004,12,0.8268149187757798,0.013160225318342355,0.005885431682205463
41,458,gini,0.3529783659443947,6,0.841890268030755,0.012516567320383686,0.005597579074666062
42,300,entropy,0.6573994627797582,20,0.8209227560810067,0.013873243716909444,0.006204303203886273
43,322,gini,0.3703510829880352,4,0.8386816820318765,0.013343378728288544,0.005967340377195576
44,211,entropy,0.45909297789143144,20,0.8232698268203713,0.014722355044273886,0.006584037333576666
45,472,entropy,0.7193241225090415,14,0.8253821020419394,0.012557653747936675,0.005615953483658283
46,48,gini,0.4129918291138346,4,0.8384068705810828,0.013528570312303593,0.006050160571339279
47,270,gini,0.9064232691643387,2,0.8233820784569102,0.016464947818731545,0.007363348513734123
48,147,gini,0.1804516192026816,10,0.8333177552031195,0.014044713908783752,0.00628098700491545
49,353,gini,0.7411188729132643,2,0.8242364264880843,0.015820163660790466,0.0070749922721398805
50,493,gini,0.42237404364314035,4,0.8385898330835067,0.01316833545772129,0.005889058646797122
51,205,entropy,0.42645357268494233,12,0.8312145372879314,0.012186953161899279,0.0054501711417225575
52,82,entropy,0.6343798686338388,,0.819267571829517,0.013308719849496043,0.005951840455394784
53,349,gini,0.5229062010283453,12,0.8263497908794071,0.012698695107853639,0.005679029097340952
54,442,entropy,0.4148859784394432,18,0.8234274550705193,0.014550497001116445,0.00650718008018064
55,267,entropy,0.0014268805627581926,,0.804376600178722,0.018003492573560438,0.008051406645378754
56,202,entropy,0.09226234584675208,20,0.8144755377386674,0.01645565160351579,0.0073591911199029445
57,410,entropy,0.7093943937252127,14,0.8256759027169952,0.012940072978087877,0.005786976562562528
58,384,gini,0.5243455967651972,10,0.8317106811356453,0.012560583962278892,0.005617263915349851
59,425,entropy,0.6961604635169689,12,0.8299508661602001,0.010972622001794882,0.004907105737484634
60,359,gini,0.955468323002926,6,0.8399845812871136,0.012001721202452397,0.005367332891136814
61,438,gini,0.6829138543754175,12,0.8257072642545296,0.013185682223968598,0.005896816356500878
62,102,gini,0.05312869067295756,10,0.8314978098679763,0.01580236464405193,0.007067032309867876
63,262,gini,0.30885268486379713,6,0.841651595723772,0.01243724042587736,0.005562103008954042
64,81,entropy,0.592594687323373,,0.8197295730716618,0.015803749207762438,0.0070676515055830514
65,289,gini,0.2351204072574643,2,0.8312081529515354,0.01572162614280141,0.007030924954428352
66,20,gini,0.9649709995361269,4,0.8355539484614699,0.012955830927914923,0.005794023731962389
67,243,gini,0.9450482237927939,6,0.8396266817436151,0.011862450737627444,0.005305049245815497
68,301,entropy,0.8484008808376887,,0.8208855195781949,0.013934466764701916,0.00623168298321701
69,458,entropy,0.47232399628840227,16,0.8245026916414655,0.01359337935496648,0.006079144056329458
70,327,entropy,0.8414767148983973,20,0.8207025816435097,0.013712285160066149,0.006132320348953898
